9/20/2019,black tights,grey crop top,white bralette,black circle skirt,black vans,red vneck sweater
9/21/2019,navy keyhole dress,black bra,brown sandals,,,
9/21/2019,dark skinny jeans,white silk tank,black bralette,brown sandals,,
9/23/2019,white tee,navy circle skirt,brown sandals,,,
9/24/2019,purple lace dress,brown sandals,,,,
9/25/2019,black bralette,black lace tank top,red lace shirt,dark skinny jeans,brown sandals,
9/26/2019,white tee,black ripped jeans,new black boots,,,
9/27/2019,blue plaid skirt,long sleeve lace crop top,white bralette,black vans,,
9/27/2019,sparkly romper,black vans,,,,
9/28/2019,seersucker dress,brown sandals,,,,
9/28/2019,black high waisted shorts,sheer slip,white bralette,black vans,,
9/30/2019,velvet maroon sweater,black high waisted shorts,black lace tank top,black vans,,
10/1/2019,black long sleeve crop top,black overalls,new black boots,black tights,,
10/2/2019,black flowered dress,new black boots,,,,
10/3/2019,black bralette,long sleeve lace crop top,purple corduroys,alpaca sweater,black vans,
10/3/2019,red sparkly dress,black vans,,,,
10/4/2019,navy keyhole dress,black long sleeve crop top,black tights,new black boots,,
10/5/2019,red ballgown,,,,,
10/5/2019,black evening gown,,,,,
10/6/2019,velvet maroon sweater,black corduroys,gold vans,,,
10/7/2019,black long sleeve crop top,green overalls,new black boots,,,
10/8/2019,white long sleeve crop top,jumpsuit,black vans,,,
10/9/2019,red sweater dress,black tights,black knee highs,new black boots,,
10/10/2019,red vneck sweater,suspender shorts,black tights,black knee highs,gold vans,
10/11/2019,white tee,light skinny jeans,gold vans,grey cable knit sweater,,
10/12/2019,dark skinny jeans,black lace tank top,maroon velvet sweater,black knee highs,gold vans,
10/14/2019,black tights,black knee highs,green overalls,grey cable knit sweater,black tee,new black boots
10/15/2019,black corduroys,brown henley,red plaid flannel,gold vans,,
10/16/2019,black overalls,blue striped sweater,blue knee highs,new black boots,black tights,
10/17/2019,blue plaid skirt,soft blue button down,black tights,black knee highs,black vans,grey striped sweater
10/18/2019,blue knee highs,blue velvet skirt,pink tee,maroon velvet sweater,black vans,
